Day,Solar Irradiance (W/m²),Panel Area (m²),Efficiency (%),Sunlight Hours (hrs),Energy Output (kWh)
1,912.3620356542087,15,17.61548572926689,6.9199932439598815,16.68240874775536
2,1085.2142919229748,15,17.33038467361982,4.738047982394846,13.366398992789218
3,1019.5981825434216,15,16.23307738752002,5.386558777479545,13.37311483614364
4,979.597545259111,15,19.250866690710417,6.653122547431273,18.819789297523236
5,846.8055921327309,15,18.336369123560402,5.928357378097919,13.807743020534392
6,846.7983561008608,15,21.059906946268026,6.954284154539575,18.602878318476005
7,817.4250836504598,15,15.224767063374408,7.844831604891439,14.644464708245987
8,1059.8528437324806,15,19.507075492885885,4.46618675086079,13.850513408589416
9,980.3345035229627,15,20.34064214958093,6.838270865592244,20.45391778416821
10,1012.4217733388136,15,20.31640598431815,4.921376622528458,15.184000884782948
11,806.1753482887407,15,21.202517769668674,5.657906909630277,14.506545565819458
12,1090.9729556485984,15,20.10323619980646,4.131450903180559,13.591701106016398
13,1049.7327922401264,15,21.494670431533876,4.543629529170795,15.378137059014513
14,863.7017332034828,15,17.32859619874624,5.279109156195599,11.851656994156418
15,854.5474901621302,15,18.522465917260803,5.36794322115194,12.744833901001304
16,855.0213529560301,15,15.098557642980234,7.5983408658483835,14.713718858242876
17,891.2726728878613,15,15.04870311112304,6.96725163706606,14.017237135520318
18,957.4269294896714,15,16.68088634316064,7.888731872748164,18.89832077200638
19,929.5835055926348,15,15.705650379973596,6.396286041340963,14.007591586438032
20,887.3687420594126,15,16.821479575550274,4.966854928365272,11.120928625314328
21,983.5558684167138,15,16.23930306169878,5.310620119686572,12.723392250975959
22,841.8481581956125,15,15.199640173870538,5.279343693167869,10.13300526123238
23,887.6433945605654,15,21.365129024842346,5.305977310653006,15.093873053880019
24,909.9085529881075,15,15.057561919722241,6.691856692447263,13.75277367592821
25,936.8209952651108,15,20.152575010359598,6.123231712361665,17.340400134257845
26,1035.5527884179041,15,16.065035208436615,5.541696712346577,13.828909581949178
27,859.9021346475079,15,21.3856073539972,4.596359074914867,12.678732061118268
28,954.2703315240835,15,21.249571577129203,4.088556651768584,12.436062013578258
29,977.7243706586128,15,19.577308024584802,4.87533871035077,13.997983165206417
30,813.9351238159993,15,19.705639048604237,4.429885615874725,10.65771457082313
31,982.2634555704315,15,15.03737399378782,7.1417801234089575,15.823324051144102
32,851.1572371061875,15,21.894100962795214,4.4499918312555415,12.439054924270051
33,819.5154778955839,15,21.1448282250307,6.896912949227344,17.926987897747487
34,1084.665661176,15,21.265743580110644,5.542634759104331,19.17714642371001
35,1089.6896099223677,15,19.614711759356105,4.2935135589751035,13.76540007814399
36,1042.5192044349383,15,17.413508500581756,7.250920197726343,19.74489054741276
37,891.3841307520112,15,21.255540543633366,6.318522280946453,17.957415533004074
38,829.3016342019151,15,17.040618497058347,4.943046051454292,10.478130194984404
39,1005.2699079536471,15,18.93898080339542,7.578724697330672,21.643459342477616
40,932.0457481218804,15,15.698116806407176,4.181033255482205,9.176132305786977
41,836.6114704534336,15,21.45368941092925,4.807278432791051,12.942445340558178
42,948.553073033381,15,15.985393204398493,7.008187711223444,15.939766072299218
43,810.3165563345656,15,16.57427764011285,6.837511721239556,13.774589490994856
44,1072.7961206236346,15,18.906939106897504,5.157086774897913,15.69040370846001
45,877.6339944800051,15,20.34865100149087,4.248099501411133,11.379809705247467
46,998.7566853061946,15,19.335459141554093,7.432312288899775,21.52927460287397
47,893.5133228268232,15,16.624937389601094,5.25479055227961,11.70867416378136
48,956.0204063533432,15,15.006601297692432,4.78285365971306,10.292665494094974
49,964.0130838029838,15,20.300054062152075,6.064247289443909,17.80115921640446
50,855.4563366576581,15,21.896451281377658,7.640908797129789,21.4688043311098
51,1090.8753883293675,15,20.669391842142634,4.174186311373502,14.117764421448983
52,1032.5398470083344,15,18.22144632709631,7.0632163521235505,19.933494243166106
53,1081.8496824692568,15,21.326370829793746,6.289892911754835,21.767992996260013
54,1068.4482051282946,15,17.86893371182845,5.701796466207268,16.328830507974864
55,979.3699936433255,15,18.674538589704273,6.9763217764202405,19.138788218010962
56,1076.562270506935,15,18.339908371769784,7.863297697766529,23.288005443891038
57,826.5477506155759,15,18.133367108658675,4.916824844650764,11.054074791596154
58,858.7948587257436,15,20.426335385057342,4.574589460288479,12.037139075399281
59,813.5681866731614,15,18.687382350886445,7.651526980890788,17.449452398260398
60,897.5990992289793,15,17.217019854176513,6.675812309829215,15.475182002569404
61,916.6031869068446,15,16.80710717360935,5.751944086247864,13.291691326227394
62,881.4047095321688,15,15.264231218772034,6.293038281057132,12.699947784269137
63,1048.6212527455789,15,19.082366133181324,6.982455620704976,20.958023499771084
64,907.0259980080768,15,16.60972990780724,7.092127594822869,16.026921334210368
65,884.2803529062143,15,16.036937454114682,7.679576723275858,16.33578293307557
66,962.8088249474745,15,19.576809746793742,5.707371155582491,16.13650056907823
67,842.2772674924288,15,19.768464804750842,5.1736436400775805,12.921585145868427
68,1040.659094226212,15,20.265084245803664,6.558657067159368,20.74737133269721
69,822.3651931039312,15,18.52503827437014,5.662911597118121,12.940613771400853
70,1096.0660809801552,15,21.258382236427206,6.378393815795912,22.293052506155405
71,1031.6734307889972,15,21.554399273787595,5.679943193823801,18.9458206116694
72,859.6147044602517,15,20.651596578547426,4.6119831467126975,12.28107657273107
73,801.6566351370807,15,19.44915437405731,5.877707006635834,13.746378804940154
74,1044.6384285364502,15,17.12604667513832,6.763671287764131,18.15084604720616
75,1012.0572031542852,15,21.88061445134155,7.197135230670599,23.90647233804463
76,1018.7021504122962,15,16.918953170343567,5.973305107186187,15.442822110478819
77,1031.3811040057838,15,16.41859845393302,4.660951560841603,11.839165743294839
78,822.2133955202271,15,18.09507879650608,5.658750838597726,12.628647979846576
79,907.5397185632818,15,15.397883994986719,7.145175715366793,14.977207855600353
80,834.7607178575389,15,21.849461252702536,5.651437082468291,15.461545143772984
81,1058.931027762678,15,19.119034894914975,6.78612317441689,20.608512067624943
82,986.9894380482674,15,18.898664641649226,6.028854726712359,16.868237295834493
83,899.2694074557947,15,19.59057395929804,4.964892500437587,13.120128480677648
84,819.067505085807,15,18.479165534440448,7.184602032092297,16.311579914692814
85,893.2946965146987,15,15.22444461966179,4.336853816282748,8.847126904148217
86,897.5549966080241,15,19.286179021882777,6.099561131020602,15.837882257054542
87,1018.8818535014192,15,20.013217138695016,4.83556413697362,14.790373517558834
88,991.2672414065639,15,17.917243424368372,4.268262514165503,11.371148459849815
89,1066.163822772898,15,20.301069004498352,6.011735748332995,19.51794055021687
90,941.6644775485847,15,16.589009095368944,5.998248623739695,14.055048713560133
91,835.8782737814905,15,16.548936137463286,6.827603606702883,14.166829768754996
92,1013.9734361668985,15,16.129918913813018,6.97900277220762,17.1215623481717
93,1028.2355145850693,15,17.603963318524134,6.911165954771587,18.76487326748144
94,968.3831592708489,15,20.929084247723587,5.63823493166702,17.140831330221754
95,1031.2901539863683,15,20.795384435043452,6.52675914890625,20.99600514384097
96,948.1386789093173,15,17.679769455744527,6.307780970575841,15.860479939690192
97,956.8198488145982,15,19.123831151861655,5.686247024467678,15.607094434654728
98,928.2623055075649,15,20.04571421532441,6.388850776743973,17.83225447905724
99,807.6257380232286,15,16.68844742239616,7.788991506825051,15.747027106064506
100,832.3674280979914,15,16.176987601263228,4.771574974725509,9.637529958943768
101,809.4287557060203,15,21.804671952486178,7.623088383142106,20.18135864401647
102,990.9231233791342,15,19.322901192467327,4.213822055932793,12.102629741807934
103,894.306794322898,15,21.869910052835646,5.233556851606643,15.354006933189364
104,952.5712073494108,15,17.364291909925605,5.152580994446113,12.784113411229722
105,1072.269942177828,15,19.92122189981892,6.505460431523623,20.844400250511814
106,874.7876687446625,15,16.558225455788666,4.524899807109161,9.831429525232634
107,923.114876910689,15,16.82840119891739,7.529390447359015,17.544851034097753
108,1026.6653415629146,15,18.58331484888737,7.3142056338601655,20.931989652533673
109,868.6394496474868,15,17.237326878556498,6.608263278741111,14.841850850173817
110,823.0939729486379,15,16.173350946884092,5.833655327168791,11.648807192273749
111,886.9254358741305,15,16.840164913925282,7.731824168568314,17.322344777425887
112,848.3663861762013,15,15.250238761261052,7.322986218882224,14.211488621839107
